Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Canada,Québec,CA-QC,0.54,28.21,99.86,98.86,hydroquebec.com,false,
2023-01-01 01:00:00,Canada,Québec,CA-QC,0.7,28.52,99.81,98.51,hydroquebec.com,false,
2023-01-01 02:00:00,Canada,Québec,CA-QC,0.76,28.81,99.8,98.57,hydroquebec.com,false,
2023-01-01 03:00:00,Canada,Québec,CA-QC,0.82,29.04,99.78,98.47,hydroquebec.com,false,
2023-01-01 04:00:00,Canada,Québec,CA-QC,0.43,28.62,99.88,98.58,hydroquebec.com,false,
2023-01-01 05:00:00,Canada,Québec,CA-QC,0.17,28.47,99.95,99.06,hydroquebec.com,false,
2023-01-01 06:00:00,Canada,Québec,CA-QC,0.05,28.64,99.99,99.02,hydroquebec.com,false,
2023-01-01 07:00:00,Canada,Québec,CA-QC,0.05,29.05,99.99,99.02,hydroquebec.com,false,
2023-01-01 08:00:00,Canada,Québec,CA-QC,0.05,29.12,99.99,99.02,hydroquebec.com,false,
2023-01-01 09:00:00,Canada,Québec,CA-QC,0.04,29.04,99.99,99.09,hydroquebec.com,false,
2023-01-01 10:00:00,Canada,Québec,CA-QC,0.05,28.91,99.99,99.07,hydroquebec.com,false,
2023-01-01 11:00:00,Canada,Québec,CA-QC,0.09,28.72,99.98,98.94,hydroquebec.com,false,
2023-01-01 12:00:00,Canada,Québec,CA-QC,0.37,28.72,99.9,98.15,hydroquebec.com,false,
2023-01-01 13:00:00,Canada,Québec,CA-QC,0.5,28.87,99.86,98.47,hydroquebec.com,false,
2023-01-01 14:00:00,Canada,Québec,CA-QC,0.71,28.99,99.81,98.28,hydroquebec.com,false,
2023-01-01 15:00:00,Canada,Québec,CA-QC,0.62,28.92,99.83,98.65,hydroquebec.com,false,
2023-01-01 16:00:00,Canada,Québec,CA-QC,1.28,29.55,99.66,97.64,hydroquebec.com,false,
2023-01-01 17:00:00,Canada,Québec,CA-QC,0.68,29.11,99.82,98.85,hydroquebec.com,false,
2023-01-01 18:00:00,Canada,Québec,CA-QC,0.63,29.06,99.83,98.96,hydroquebec.com,false,
2023-01-01 19:00:00,Canada,Québec,CA-QC,0.57,29.01,99.85,98.99,hydroquebec.com,false,
2023-01-01 20:00:00,Canada,Québec,CA-QC,0.26,28.64,99.93,99.36,hydroquebec.com,false,
2023-01-01 21:00:00,Canada,Québec,CA-QC,0.26,28.44,99.93,99.38,hydroquebec.com,false,
2023-01-01 22:00:00,Canada,Québec,CA-QC,0.33,28.36,99.91,99.38,hydroquebec.com,false,
2023-01-01 23:00:00,Canada,Québec,CA-QC,0.65,28.65,99.82,98.95,hydroquebec.com,false,
2023-01-02 00:00:00,Canada,Québec,CA-QC,0.54,28.56,99.85,99.12,hydroquebec.com,false,
2023-01-02 01:00:00,Canada,Québec,CA-QC,0.53,28.57,99.86,98.89,hydroquebec.com,false,
2023-01-02 02:00:00,Canada,Québec,CA-QC,0.3,28.46,99.92,99.26,hydroquebec.com,false,
2023-01-02 03:00:00,Canada,Québec,CA-QC,0.37,28.59,99.9,99.05,hydroquebec.com,false,
2023-01-02 04:00:00,Canada,Québec,CA-QC,0.28,28.63,99.92,99.03,hydroquebec.com,false,
2023-01-02 05:00:00,Canada,Québec,CA-QC,0.17,28.54,99.95,99.02,hydroquebec.com,false,
2023-01-02 06:00:00,Canada,Québec,CA-QC,0.07,28.33,99.98,98.62,hydroquebec.com,false,
2023-01-02 07:00:00,Canada,Québec,CA-QC,0.07,28.35,99.98,98.55,hydroquebec.com,false,
2023-01-02 08:00:00,Canada,Québec,CA-QC,0.08,28.31,99.98,98.31,hydroquebec.com,false,
2023-01-02 09:00:00,Canada,Québec,CA-QC,0.12,28.5,99.97,98.9,hydroquebec.com,false,
2023-01-02 10:00:00,Canada,Québec,CA-QC,0.29,28.68,99.92,98.98,hydroquebec.com,false,
