"RTD End Time Stamp","Zone Name","Zone PTID","RTD Zonal LBMP","RTD Zonal Losses","RTD Zonal Congestion","RTD Zonal Price Version"
"2022/12/31 00:05:00","H Q","61844","30.56","-0.37","0","1"
"2022/12/31 00:10:00","H Q","61844","31.45","-0.38","0","1"
"2022/12/31 00:15:00","H Q","61844","34.17","-0.41","0","1"
"2022/12/31 00:20:00","H Q","61844","33.43","-0.37","0","1"
"2022/12/31 00:25:00","H Q","61844","34.49","-0.38","0","1"
"2022/12/31 00:30:00","H Q","61844","33.36","-0.4","0","1"
"2022/12/31 00:35:00","H Q","61844","35.56","-0.36","0","1"
"2022/12/31 00:40:00","H Q","61844","35.56","-0.36","0","1"
"2022/12/31 00:45:00","H Q","61844","34.72","-0.35","0","1"
"2022/12/31 00:50:00","H Q","61844","34.66","-0.35","0","1"
"2022/12/31 00:55:00","H Q","61844","35.51","-0.36","0","1"
"2022/12/31 01:00:00","H Q","61844","35.96","-0.36","0","1"
"2022/12/31 01:05:00","H Q","61844","35.96","-0.36","0","1"
"2022/12/31 01:10:00","H Q","61844","35.82","-0.4","0","1"
"2022/12/31 01:15:00","H Q","61844","34.59","-0.38","0","1"
"2022/12/31 01:20:00","H Q","61844","32.72","-0.36","0","1"
"2022/12/31 01:25:00","H Q","61844","32.69","-0.36","0","1"
"2022/12/31 01:30:00","H Q","61844","33.4","-0.37","0","1"
"2022/12/31 01:35:00","H Q","61844","33.36","-0.37","0","1"
"2022/12/31 01:40:00","H Q","61844","32.72","-0.36","0","1"
"2022/12/31 01:45:00","H Q","61844","32.72","-0.36","0","1"
"2022/12/31 01:50:00","H Q","61844","32.75","-0.36","0","1"
"2022/12/31 01:55:00","H Q","61844","32.92","-0.37","0","1"
"2022/12/31 02:00:00","H Q","61844","31.66","-0.35","0","1"
"2022/12/31 02:05:00","H Q","61844","30.56","-0.31","0","1"
"2022/12/31 02:10:00","H Q","61844","26.45","-0.27","0","1"
"2022/12/31 02:15:00","H Q","61844","26.2","-0.29","0","1"
"2022/12/31 02:20:00","H Q","61844","29.69","-0.24","0","1"
"2022/12/31 02:25:00","H Q","61844","28.5","-0.23","0","1"
"2022/12/31 02:30:00","H Q","61844","28.53","-0.26","0","1"
"2022/12/31 02:35:00","H Q","61844","28.5","-0.26","0","1"
"2022/12/31 02:40:00","H Q","61844","28.53","-0.23","0","1"
"2022/12/31 02:45:00","H Q","61844","27.25","-0.22","0","1"
"2022/12/31 02:50:00","H Q","61844","27.27","-0.22","0","1"
"2022/12/31 02:55:00","H Q","61844","28.4","-0.23","0","1"
"2022/12/31 03:00:00","H Q","61844","27.26","-0.22","0","1"
"2022/12/31 03:05:00","H Q","61844","28.5","-0.23","0","1"
"2022/12/31 03:10:00","H Q","61844","28.5","-0.23","0","1"
"2022/12/31 03:15:00","H Q","61844","28.53","-0.23","0","1"
"2022/12/31 03:20:00","H Q","61844","28.58","-0.23","0","1"
"2022/12/31 03:25:00","H Q","61844","28.58","-0.23","0","1"
"2022/12/31 03:30:00","H Q","61844","29.63","-0.24","0","1"
"2022/12/31 03:35:00","H Q","61844","30.85","-0.25","0","1"
"2022/12/31 03:40:00","H Q","61844","29.6","-0.24","0","1"
"2022/12/31 03:45:00","H Q","61844","28.61","-0.23","0","1"
"2022/12/31 03:50:00","H Q","61844","28.56","-0.23","0","1"
"2022/12/31 03:55:00","H Q","61844","28.53","-0.23","0","1"
"2022/12/31 04:00:00","H Q","61844","27.13","-0.22","0","1"
"2022/12/31 04:05:00","H Q","61844","24.01","-0.19","0","1"
"2022/12/31 04:10:00","H Q","61844","27.16","-0.22","0","1"
"2022/12/31 04:15:00","H Q","61844","28.58","-0.23","0","1"
"2022/12/31 04:20:00","H Q","61844","28.66","-0.23","0","1"
"2022/12/31 04:25:00","H Q","61844","28.69","-0.23","0","1"
"2022/12/31 04:30:00","H Q","61844","28.69","-0.23","0","1"
"2022/12/31 04:35:00","H Q","61844","29.63","-0.24","0","1"
"2022/12/31 04:40:00","H Q","61844","29.66","-0.24","0","1"
"2022/12/31 04:45:00","H Q","61844","30.95","-0.22","0","1"
"2022/12/31 04:50:00","H Q","61844","30.95","-0.22","0","1"
"2022/12/31 04:55:00","H Q","61844","30.97","-0.22","0","1"
"2022/12/31 05:00:00","H Q","61844","29.34","-0.24","0","1"
"2022/12/31 05:05:00","H Q","61844","29.27","-0.24","0","1"
"2022/12/31 05:10:00","H Q","61844","29.3","-0.24","0","1"
"2022/12/31 05:15:00","H Q","61844","29.37","-0.27","0","1"
"2022/12/31 05:20:00","H Q","61844","29.5","-0.27","0","1"
"2022/12/31 05:25:00","H Q","61844","26.54","-0.24","0","1"
"2022/12/31 05:30:00","H Q","61844","29.94","-0.24","0","1"
"2022/12/31 05:35:00","H Q","61844","31.03","-0.25","0","1"
"2022/12/31 05:40:00","H Q","61844","29.47","-0.24","0","1"
"2022/12/31 05:45:00","H Q","61844","31.03","-0.25","0","1"
"2022/12/31 05:50:00","H Q","61844","31.09","-0.25","0","1"
"2022/12/31 05:55:00","H Q","61844","59.81","-0.48","0","1"
"2022/12/31 06:00:00","H Q","61844","0","0","0","1"
"2022/12/31 06:05:00","H Q","61844","22.74","-0.18","0","1"
"2022/12/31 06:10:00","H Q","61844","22.69","-0.18","0","1"
"2022/12/31 06:15:00","H Q","61844","22.5","-0.18","0","1"
"2022/12/31 06:20:00","H Q","61844","25.02","-0.2","0","1"
"2022/12/31 06:25:00","H Q","61844","27.13","-0.22","0","1"
"2022/12/31 06:30:00","H Q","61844","25.32","-0.21","0","1"
"2022/12/31 06:35:00","H Q","61844","25.03","-0.2","0","1"
"2022/12/31 06:40:00","H Q","61844","27.1","-0.19","0","1"
"2022/12/31 06:45:00","H Q","61844","24.72","-0.2","0","1"
"2022/12/31 06:50:00","H Q","61844","22.52","-0.16","0","1"
"2022/12/31 06:55:00","H Q","61844","24.77","-0.17","0","1"
"2022/12/31 07:00:00","H Q","61844","22.72","-0.16","0","1"
"2022/12/31 07:05:00","H Q","61844","20.67","-0.14","0","1"
"2022/12/31 07:10:00","H Q","61844","20.6","-0.14","0","1"
"2022/12/31 07:15:00","H Q","61844","20.44","-0.14","0","1"
"2022/12/31 07:20:00","H Q","61844","20.12","-0.14","0","1"
"2022/12/31 07:25:00","H Q","61844","20.33","-0.14","0","1"
"2022/12/31 07:30:00","H Q","61844","19.2","-0.13","0","1"
"2022/12/31 07:35:00","H Q","61844","19.12","-0.13","0","1"
"2022/12/31 07:40:00","H Q","61844","18.58","-0.13","0","1"
"2022/12/31 07:45:00","H Q","61844","18.58","-0.13","0","1"
"2022/12/31 07:50:00","H Q","61844","20.1","-0.14","0","1"
"2022/12/31 07:55:00","H Q","61844","19.91","-0.14","0","1"
"2022/12/31 08:00:00","H Q","61844","19.05","-0.13","0","1"
"2022/12/31 08:05:00","H Q","61844","19.93","-0.14","0","1"
"2022/12/31 08:10:00","H Q","61844","19.23","-0.13","0","1"
"2022/12/31 08:15:00","H Q","61844","20.02","-0.14","0","1"
"2022/12/31 08:20:00","H Q","61844","20.71","-0.14","0","1"
"2022/12/31 08:25:00","H Q","61844","20.73","-0.15","0","1"
"2022/12/31 08:30:00","H Q","61844","22.15","-0.18","0","1"
"2022/12/31 08:35:00","H Q","61844","22.15","-0.18","0","1"
"2022/12/31 08:40:00","H Q","61844","22.89","-0.19","0","1"
"2022/12/31 08:45:00","H Q","61844","22.89","-0.16","0","1"
"2022/12/31 08:50:00","H Q","61844","22.89","-0.16","0","1"
"2022/12/31 08:55:00","H Q","61844","22.92","-0.16","0","1"
"2022/12/31 09:00:00","H Q","61844","24.42","-0.22","0","1"
"2022/12/31 09:05:00","H Q","61844","30.37","-0.31","0","1"
