Time,hq_import [kW],hq_export [kW],cons [kW],prod [kW],net [kW],T_slab,heating_total [kW],T_ext,T_int_setpoint,T_int,T_diff,cons_noheating [kW],DNI,GHI,DHI,light_cons [kW]
01.01.2018 00:00,16.87,0,16.87,0,16.87,20.443,38.026,-21.857,21.4767,18.458,-40.314,7.3635,0,0,0,0
01.01.2018 00:15,13.075,0,13.075,0,13.075,20.435,26.322,-21.843,18,18.409,-40.252,6.4945,0,0,0,0
01.01.2018 00:30,16.327,0,16.327,0,16.327,20.434,13.018,-21.956,18,18.314,-40.27,13.0725,0,0,0,0
01.01.2018 00:45,15.916,0,15.916,0,15.916,20.418,10.618,-22.041,18,18.253,-40.294,13.2615,0,0,0,0
01.01.2018 01:00,17.242,0,17.242,0,17.242,20.397,10.782,-22.13,18,18.17,-40.3,14.5465,0,0,0,0
01.01.2018 01:15,14.639,0,14.639,0,14.639,20.384,11.025,-22.122,18,18.086,-40.209,11.88275,0,0,0,0
01.01.2018 01:30,12.272,0,12.272,0,12.272,20.363,23.559,-22.2,18,18.08,-40.28,6.38225,0,0,0,0
01.01.2018 01:45,15.694,0,15.694,0,15.694,20.348,7.184,-22.267,18,18.025,-40.292,13.898,0,0,0,0
01.01.2018 02:00,16.064,0,16.064,0,16.064,20.33,10.837,-22.302,18,17.971,-40.274,13.35475,0,0,0,0
01.01.2018 02:15,15.827,0,15.827,0,15.827,20.309,11.954,-22.369,18,17.916,-40.285,12.8385,0,0,0,0
01.01.2018 02:30,14.964,0,14.964,0,14.964,20.274,11.546,-22.423,18,17.922,-40.345,12.0775,0,0,0,0
01.01.2018 02:45,15.422,0,15.422,0,15.422,20.248,12.751,-22.388,18,17.896,-40.284,12.23425,0,0,0,0
01.01.2018 03:00,15.862,0,15.862,0,15.862,20.22,13.672,-22.413,18,17.881,-40.294,12.444,0,0,0,0
01.01.2018 03:15,15.638,0,15.638,0,15.638,20.193,14.268,-22.504,18,17.864,-40.369,12.071,0,0,0,0
01.01.2018 03:30,16.814,0,16.814,0,16.814,20.176,15.092,-22.556,18,17.857,-40.413,13.041,0,0,0,0
01.01.2018 03:45,15.726,0,15.726,0,15.726,20.155,15.12,-22.592,18,17.796,-40.388,11.946,0,0,0,0
01.01.2018 04:00,17.957,0,17.957,0,17.957,20.122,15.558,-22.71,18,17.76,-40.471,14.0675,0,0,0,0
01.01.2018 04:15,20.737,0,20.737,0,20.737,20.106,21.177,-22.846,18.2683,17.748,-40.594,15.44275,0,0,0,0
01.01.2018 04:30,21.196,0,21.196,0,21.196,20.083,33.988,-22.99,18.56,17.735,-40.725,12.699,0,0,0,0
01.01.2018 04:45,21.275,0,21.275,0,21.275,20.069,36.831,-23.041,18.8517,17.722,-40.763,12.06725,0,0,0,0
01.01.2018 05:00,21.433,0,21.433,0,21.433,20.042,37.681,-23.048,19.1433,17.748,-40.795,12.01275,0,0,0,0
01.01.2018 05:15,21.248,0,21.248,0,21.248,20.017,37.905,-23.129,19.435,17.772,-40.901,11.77175,0,0,0,0
01.01.2018 05:30,19.932,0,19.932,0,19.932,20.008,38.481,-23.174,19.7267,17.816,-40.989,10.31175,0,0,0,0
01.01.2018 05:45,23.85,0,23.85,0,23.85,19.997,38.583,-23.301,20.0183,17.819,-41.12,14.20425,0,0,0,0
01.01.2018 06:00,25.724,0,25.724,0,25.724,19.993,64.458,-23.489,20.31,17.849,-41.338,9.6095,0,0,0,0
01.01.2018 06:15,21.832,0,21.832,0,21.832,19.984,65.608,-23.647,20.6017,17.869,-41.516,5.43,0,0,0,0
