Date/Time (LST),Temp (°C)
1/1/2023 0:00,3.9
1/1/2023 1:00,3.7
1/1/2023 2:00,3.6
1/1/2023 3:00,3.4
1/1/2023 4:00,4.1
1/1/2023 5:00,4
1/1/2023 6:00,3.9
1/1/2023 7:00,3.2
1/1/2023 8:00,3.5
1/1/2023 9:00,3.4
1/1/2023 10:00,3.6
1/1/2023 11:00,3.2
1/1/2023 12:00,3.1
1/1/2023 13:00,3.2
1/1/2023 14:00,3.2
1/1/2023 15:00,3.3
1/1/2023 16:00,3
1/1/2023 17:00,2.8
1/1/2023 18:00,2.2
1/1/2023 19:00,1.8
1/1/2023 20:00,1.7
1/1/2023 21:00,1.6
1/1/2023 22:00,1.4
1/1/2023 23:00,1.3
1/2/2023 0:00,1.1
1/2/2023 1:00,0.7
1/2/2023 2:00,0.7
1/2/2023 3:00,0.8
1/2/2023 4:00,0.9
1/2/2023 5:00,0.7
1/2/2023 6:00,0.6
1/2/2023 7:00,0.8
1/2/2023 8:00,0.8
1/2/2023 9:00,1.2
1/2/2023 10:00,1.7
1/2/2023 11:00,2.2
1/2/2023 12:00,3.3
1/2/2023 13:00,4.1
1/2/2023 14:00,4
1/2/2023 15:00,4
1/2/2023 16:00,3.7
1/2/2023 17:00,3.6
1/2/2023 18:00,3.4
1/2/2023 19:00,3.3
1/2/2023 20:00,3.2
1/2/2023 21:00,2.5
1/2/2023 22:00,2.7
1/2/2023 23:00,2.9
1/3/2023 0:00,2.3
1/3/2023 1:00,2.3
1/3/2023 2:00,1.8
1/3/2023 3:00,1.7
1/3/2023 4:00,2.2
1/3/2023 5:00,1.7
1/3/2023 6:00,1.6
1/3/2023 7:00,1.6
1/3/2023 8:00,1.5
1/3/2023 9:00,2.1
1/3/2023 10:00,2.8
1/3/2023 11:00,2.7
1/3/2023 12:00,2.7
1/3/2023 13:00,3.3
1/3/2023 14:00,4.3
1/3/2023 15:00,4.6
1/3/2023 16:00,3.5
1/3/2023 17:00,2.8
1/3/2023 18:00,2.9
1/3/2023 19:00,2.4
1/3/2023 20:00,2.2
1/3/2023 21:00,1.6
1/3/2023 22:00,1.6
1/3/2023 23:00,1.4
1/4/2023 0:00,1.3
1/4/2023 1:00,1.3
1/4/2023 2:00,1.5
1/4/2023 3:00,1.3
1/4/2023 4:00,1.2
1/4/2023 5:00,1.2
1/4/2023 6:00,1.5
1/4/2023 7:00,1.2
1/4/2023 8:00,1.7
1/4/2023 9:00,1.9
1/4/2023 10:00,2.3
1/4/2023 11:00,2.2
1/4/2023 12:00,2.7
1/4/2023 13:00,2.8
1/4/2023 14:00,2.9
1/4/2023 15:00,2.8
1/4/2023 16:00,2.7
1/4/2023 17:00,2.4
1/4/2023 18:00,2.3
1/4/2023 19:00,1.8
1/4/2023 20:00,0.5
1/4/2023 21:00,-1.2
1/4/2023 22:00,-1.9
1/4/2023 23:00,-2.6
1/5/2023 0:00,-3.7
1/5/2023 1:00,-3.3
1/5/2023 2:00,-3.2
1/5/2023 3:00,-3
1/5/2023 4:00,-2.9
1/5/2023 5:00,-2.8
1/5/2023 6:00,-2.9
1/5/2023 7:00,-3
1/5/2023 8:00,-3.3
1/5/2023 9:00,-3.4
1/5/2023 10:00,-3.7
1/5/2023 11:00,-4.1
1/5/2023 12:00,-4.2
1/5/2023 13:00,-4.7
1/5/2023 14:00,-4.6
1/5/2023 15:00,-4.8
1/5/2023 16:00,-4.5
1/5/2023 17:00,-4.3
1/5/2023 18:00,-4.4
1/5/2023 19:00,-4.3
1/5/2023 20:00,-4
1/5/2023 21:00,-4
1/5/2023 22:00,-3.8
1/5/2023 23:00,-3.9
1/6/2023 0:00,-4
1/6/2023 1:00,-4.3
1/6/2023 2:00,-4.2
1/6/2023 3:00,-4.1
1/6/2023 4:00,-3.9
1/6/2023 5:00,-3.8
1/6/2023 6:00,-3.5
1/6/2023 7:00,-3.4
1/6/2023 8:00,-3.2
1/6/2023 9:00,-3
1/6/2023 10:00,-2.4
1/6/2023 11:00,-2
1/6/2023 12:00,-1.6
1/6/2023 13:00,-0.9
1/6/2023 14:00,-0.5
1/6/2023 15:00,-0.6
1/6/2023 16:00,-0.3
1/6/2023 17:00,-0.3
1/6/2023 18:00,-0.2
1/6/2023 19:00,0
1/6/2023 20:00,0.1
1/6/2023 21:00,0.8
1/6/2023 22:00,1.2
