"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-12-01 00:00","2022","12","01","00:00","1.8","","-4.7","","62","","0.0","","25","","27","","","","100.05","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-12-01 01:00","2022","12","01","01:00","1.1","","-5.0","","64","","0.0","","25","","28","","","","100.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-12-01 02:00","2022","12","01","02:00","0.9","","-6.2","","59","","0.0","","24","","28","","","","100.20","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-12-01 03:00","2022","12","01","03:00","0.7","","-6.2","","60","","0.0","","24","","22","","","","100.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-12-01 04:00","2022","12","01","04:00","0.3","","-6.2","","62","","0.0","","24","","26","","","","100.30","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-12-01 05:00","2022","12","01","05:00","0.1","","-6.3","","62","","0.0","","24","","24","","","","100.35","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-12-01 06:00","2022","12","01","06:00","0.2","","-6.0","","63","","0.0","","25","","34","","","","100.40","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-12-01 07:00","2022","12","01","07:00","0.2","","-6.1","","63","","0.0","","24","","31","","","","100.47","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-12-01 08:00","2022","12","01","08:00","0.3","","-5.7","","64","","0.0","","24","","30","","","","100.54","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2022-12-01 09:00","2022","12","01","09:00","-1.0","","-3.8","","81","","0.3","","25","","21","","","","100.72","","","","-7","","NA"
